INSCRICAO;MATRICULA;ENDERECO
60.010.124.022.000;1582054;RUA JUVINA TOJAL - 232 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.027.000;1582062;RUA JUVINA TOJAL - 228 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.032.000;1582070;RUA JUVINA TOJAL - 222 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.036.000;1582089;RUA JUVINA TOJAL - 218 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.041.000;1582097;RUA JUVINA TOJAL - 214 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.046.000;1582100;RUA JUVINA TOJAL - 208 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.052.000;1582119;RUA JUVINA TOJAL - 204 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.057.000;1582127;RUA JUVINA TOJAL - 198 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.062.002;1582135;RUA JUVINA TOJAL - 194 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.068.000;1582143;RUA JUVINA TOJAL - 188 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.074.000;1582151;RUA JUVINA TOJAL - 184 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.080.000;1582160;RUA JUVINA TOJAL - 180 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.084.000;1582178;RUA JUVINA TOJAL - 174 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.088.000;1593269;RUA JUVINA TOJAL - 168 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.093.000;1582186;RUA JUVINA TOJAL - 162 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.097.000;1582194;RUA JUVINA TOJAL - 158 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.102.000;1582208;RUA JUVINA TOJAL - 154 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.107.000;1582216;RUA JUVINA TOJAL - 150 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.112.000;1582224;RUA JUVINA TOJAL - 144 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.117.000;1582232;RUA JUVINA TOJAL - 138 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.122.000;1582240;RUA JUVINA TOJAL - 132 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.128.000;1582259;RUA JUVINA TOJAL - 126 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.134.000;1582267;RUA JUVINA TOJAL - 120 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.140.001;1582275;RUA JUVINA TOJAL - 112 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.145.002;1582283;RUA JUVINA TOJAL - 106 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.152.000;1582291;RUA JUVINA TOJAL - 100 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.157.000;1582305;RUA JUVINA TOJAL - 94 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.162.000;1582313;RUA JUVINA TOJAL - 88 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.167.000;1582321;RUA JUVINA TOJAL - 82 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.172.000;1582330;RUA JUVINA TOJAL - 76 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.177.000;1582348;RUA JUVINA TOJAL - 68 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.187.000;1593277;RUA JUVINA TOJAL - 62 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.191.000;1598180;RUA JUVINA TOJAL - 56 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.196.000;6849040;RUA JUVINA TOJAL - 50 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.201.000;6849083;RUA JUVINA TOJAL - 44 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.210.000;1582356;RUA JUVINA TOJAL - 34 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.334.220.000;1584600;RUA JUVINA TOJAL - 26 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.334.220.001;7553170;RUA JUVINA TOJAL - 26 - CIMA - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.239.000;1582364;RUA JUVINA TOJAL - 8 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.262.000;1582372;PRACA DA BANDEIRA - 465 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.280.000;1582380;PRACA DA BANDEIRA - 487 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.295.000;1582399;PRACA DA BANDEIRA - 401 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.325.000;1582410;RUA DR ENEAS FERREIRA - 493 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.340.000;1582429;RUA DR ENEAS FERREIRA - 15 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.354.000;1582437;RUA DR ENEAS FERREIRA - 35 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.358.000;1582445;RUA DR ENEAS FERREIRA - 39 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.362.000;1582453;RUA DR ENEAS FERREIRA - 45 - RES.PRIMAVERA - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.121.010.002;1598546;RUA FLAVIO TOJAL - 31 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.121.016.000;5222109;RUA FLAVIO TOJAL - 37 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.121.022.000;5222117;RUA FLAVIO TOJAL - 43 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.121.046.000;6279089;RUA FLAVIO TOJAL - 75 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.121.048.000;1582470;RUA FLAVIO TOJAL - 91 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.121.078.000;1582488;RUA FLAVIO TOJAL - 105 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.303.100.000;1582496;RUA FLAVIO TOJAL - 116 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.303.156.000;1593404;RUA FLAVIO TOJAL - 172 - RESTAURANTE - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.000.001;1582500;RUA DR ENEAS FERREIRA - 63 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.010.000;1582518;RUA DR ENEAS FERREIRA - 69 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.015.000;1582526;RUA DR ENEAS FERREIRA - 75 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.021.000;1582534;RUA DR ENEAS FERREIRA - 79 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.027.000;1582542;RUA DR ENEAS FERREIRA - 85 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.030.002;1582550;RUA DR ENEAS FERREIRA - 89 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.035.000;1582569;RUA DR ENEAS FERREIRA - 95 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.035.001;1582577;RUA DR ENEAS FERREIRA - 101 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.043.000;1582585;RUA DR ENEAS FERREIRA - 107 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.048.000;1582593;RUA DR ENEAS FERREIRA - 113 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.053.000;1582607;RUA DR ENEAS FERREIRA - 117 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.058.000;1582615;RUA DR ENEAS FERREIRA - 121 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.063.000;1582623;RUA DR ENEAS FERREIRA - 125 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.068.000;1582631;RUA DR ENEAS FERREIRA - 129 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.073.000;1582640;RUA DR ENEAS FERREIRA - 133 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.078.000;1582658;RUA DR ENEAS FERREIRA - 137 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.088.000;1582674;RUA DR ENEAS FERREIRA - 145 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.093.000;1582682;RUA DR ENEAS FERREIRA - 151 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.099.000;1582690;RUA DR ENEAS FERREIRA - 157 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.104.000;1582704;RUA DR ENEAS FERREIRA - 161 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.108.000;1582712;RUA DR ENEAS FERREIRA - 165 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.112.000;1582720;RUA DR ENEAS FERREIRA - 169 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.116.000;1582739;RUA DR ENEAS FERREIRA - 175 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.116.001;6279019;RUA DR ENEAS FERREIRA - 175 A - EM CIMA - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.121.000;1582747;RUA DR ENEAS FERREIRA - 179 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.126.000;1582755;RUA DR ENEAS FERREIRA - 185 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.132.000;1582763;RUA DR ENEAS FERREIRA - 189 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.137.000;1582771;RUA DR ENEAS FERREIRA - 193 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.141.000;1582780;RUA DR ENEAS FERREIRA - 199 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.145.000;1582798;RUA DR ENEAS FERREIRA - 207 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.151.000;1582801;RUA DR ENEAS FERREIRA - 215 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.158.000;1582810;RUA DR ENEAS FERREIRA - 221 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.165.000;1582828;RUA DR ENEAS FERREIRA - 227 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.171.000;1582836;RUA DR ENEAS FERREIRA - 231 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.177.000;1582844;RUA DR ENEAS FERREIRA - 237 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.181.000;1582852;RUA DR ENEAS FERREIRA - 247 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.190.000;1582860;RUA DR ENEAS FERREIRA - 251 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.194.000;1582879;RUA DR ENEAS FERREIRA - 257 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.200.000;1582887;RUA DR ENEAS FERREIRA - 263 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.205.000;1582895;RUA DR ENEAS FERREIRA - 269 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.212.000;1582909;RUA DR ENEAS FERREIRA - 279 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.219.000;1582917;RUA DR ENEAS FERREIRA - 285 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.225.000;1582925;RUA DR ENEAS FERREIRA - 291 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.231.000;1581899;RUA DR ENEAS FERREIRA - 297 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.242.000;1582933;RUA DR ENEAS FERREIRA - 303 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.254.000;1582941;RUA DR ENEAS FERREIRA - 307 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.260.000;1582950;RUA DR ENEAS FERREIRA - 313 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.265.000;1582968;RUA DR ENEAS FERREIRA - 317 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.271.000;1582976;RUA DR ENEAS FERREIRA - 323 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.276.000;1582984;RUA DR ENEAS FERREIRA - 327 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.281.000;1582992;RUA DR ENEAS FERREIRA - 331 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.288.000;1583000;RUA DR ENEAS FERREIRA - 337 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.292.000;1583018;RUA DR ENEAS FERREIRA - 343 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.296.000;1583026;RUA DR ENEAS FERREIRA - 349 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.301.000;1583034;RUA DR ENEAS FERREIRA - 353 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.310.000;1583042;RUA DR ENEAS FERREIRA - 363 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.324.000;1583050;RUA DR ENEAS FERREIRA - 369 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.338.000;1583069;RUA DR ENEAS FERREIRA - 373 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.343.000;1583077;RUA DR ENEAS FERREIRA - 379 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.351.000;1583085;RUA DR ENEAS FERREIRA - 383 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.355.000;1583093;RUA DR ENEAS FERREIRA - 389 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.362.000;1583107;RUA DR ENEAS FERREIRA - 393 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.369.000;1583115;RUA DR ENEAS FERREIRA - 403 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.376.000;1583123;RUA DR ENEAS FERREIRA - 407 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.381.000;1583131;RUA DR ENEAS FERREIRA - 411 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.387.000;1583140;RUA DR ENEAS FERREIRA - 415 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.387.001;7226578;RUA DR ENEAS FERREIRA - 415 - 1º ANDAR - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.392.000;1583158;RUA DR ENEAS FERREIRA - 423 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.401.000;1583166;RUA DR ENEAS FERREIRA - 427 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.406.000;1583174;RUA DR ENEAS FERREIRA - 433 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.411.000;1583182;RUA DR ENEAS FERREIRA - 435 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.416.000;1583190;RUA DR ENEAS FERREIRA - 439 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.419.000;1583204;RUA DR ENEAS FERREIRA - 445 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.424.000;1583220;RUA DR ENEAS FERREIRA - 455 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.452.000;1583239;RUA DR ENEAS FERREIRA - 471 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.457.000;1583247;RUA DR ENEAS FERREIRA - 477 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.464.000;1583255;RUA DR ENEAS FERREIRA - S/N -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.471.000;1583263;RUA DR ENEAS FERREIRA - 493 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.478.000;1583271;RUA DR ENEAS FERREIRA - 499 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.484.000;1583280;RUA DR ENEAS FERREIRA - 505 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
