INSCRICAO;MATRICULA;ENDERECO
60.010.454.031.000;1583590;RUA JACKSON DE FIGUEIREDO - S/N -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.454.038.000;1583603;RUA JACKSON DE FIGUEIREDO - 49 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.454.046.000;1583611;RUA JACKSON DE FIGUEIREDO - 55 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.454.051.000;1583620;RUA JACKSON DE FIGUEIREDO - 61 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.454.056.000;1583638;RUA JACKSON DE FIGUEIREDO - 67 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.454.075.000;1583646;RUA JACKSON DE FIGUEIREDO - 91 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.454.081.000;1583654;RUA JACKSON DE FIGUEIREDO - 97 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.454.086.000;1583662;RUA JACKSON DE FIGUEIREDO - 103 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.454.091.000;1583670;RUA JACKSON DE FIGUEIREDO - 109 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.454.096.000;1583689;RUA JACKSON DE FIGUEIREDO - S/N -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.454.106.000;1583697;RUA JACKSON DE FIGUEIREDO - 129 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.454.114.000;1583700;RUA JACKSON DE FIGUEIREDO - 133 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.454.119.000;1583719;RUA JACKSON DE FIGUEIREDO - 137 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.454.124.000;1583727;RUA JACKSON DE FIGUEIREDO - 141 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.032.070.000;7927177;RUA PORTO ALOIZIO SILVA - 30 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.482.044.000;1583760;RUA JACKSON DE FIGUEIREDO - S/N -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.482.049.000;1583778;RUA JACKSON DE FIGUEIREDO - 140 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.482.100.000;1583735;RUA JACKSON DE FIGUEIREDO - 180 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.482.118.000;1583743;RUA JACKSON DE FIGUEIREDO - S/N -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.482.136.000;1583751;RUA JACKSON DE FIGUEIREDO - 150 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.482.158.000;4114493;RUA JACKSON DE FIGUEIREDO - 130 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.482.173.000;4933036;RUA JACKSON DE FIGUEIREDO - 114 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.482.177.000;1581805;RUA JACKSON DE FIGUEIREDO - 110 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.482.180.000;1583786;RUA JACKSON DE FIGUEIREDO - 106 - LADO - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.483.025.000;1583794;RUA TOBIAS BARRETO - 40 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.483.033.000;1583808;RUA TOBIAS BARRETO - 48 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.483.038.000;1583816;RUA TOBIAS BARRETO - 52 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.483.043.000;1583832;RUA TOBIAS BARRETO - 56 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.483.053.000;1583840;RUA TOBIAS BARRETO - 66 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.483.054.000;1583824;RUA TOBIAS BARRETO - S/N -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.483.058.000;1583867;RUA TOBIAS BARRETO - 70 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.483.063.000;1583875;RUA TOBIAS BARRETO - 74 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.483.066.000;1583859;RUA TOBIAS BARRETO - S/N -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.483.068.000;1583883;RUA TOBIAS BARRETO - 87 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.483.078.000;1583891;RUA TOBIAS BARRETO - 95 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.483.088.000;1583905;RUA JOAO PESSOA - 105 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.483.098.000;1583913;RUA JOAO PESSOA - 121 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.483.111.000;1583921;RUA JOAO PESSOA - 125 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.483.121.000;1583948;RUA JOAO PESSOA - 133 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.483.136.000;1596896;RUA JOAO PESSOA - 153 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.483.156.000;1583972;RUA JOAO PESSOA - 167 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.484.087.000;1593315;RUA DA CAJAZEIRA - 65 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.484.089.000;1593323;RUA DA CAJAZEIRA - 73 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.484.091.000;1584014;RUA JOAO PESSOA - S/N -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.484.096.000;6970370;RUA JOAO PESSOA - 26 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.481.100.000;1584022;FAZENDA STA ADELAIDE - 100 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.481.140.000;1584030;RUA JOAO PESSOA - S/N -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.481.146.000;7016000;RUA JOAO PESSOA - 198 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.331.180.000;1593331;RUA JOAO PESSOA - 168 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.331.184.000;1584375;RUA JOAO PESSOA - 160 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.331.189.000;1584383;RUA JOAO PESSOA - S/N -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.331.190.000;7589735;RUA JOAO PESSOA - 156 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.331.194.000;1584391;RUA JOAO PESSOA - 150 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.331.198.000;1584405;RUA JOAO PESSOA - 144 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.331.202.000;1584413;RUA JOAO PESSOA - 140 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.331.206.000;1584421;RUA JOAO PESSOA - 134 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.331.211.000;1584430;RUA JOAO PESSOA - 130 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.331.216.000;1584448;RUA JOAO PESSOA - 126 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.421.013.000;1584049;RUA TOBIAS BARRETO - 81 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.421.018.000;1584057;RUA TOBIAS BARRETO - 77 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.421.023.000;1584065;RUA TOBIAS BARRETO - 73 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.421.038.000;1584073;RUA TOBIAS BARRETO - 57 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.421.042.000;1584081;RUA TOBIAS BARRETO - 53 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.421.046.000;1584090;RUA TOBIAS BARRETO - 47 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.421.051.000;1584111;RUA TOBIAS BARRETO - 45 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.451.055.000;1584120;RUA TOBIAS BARRETO - 41 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.421.060.000;1584138;RUA TOBIAS BARRETO - 37 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.421.065.000;1584146;RUA TOBIAS BARRETO - 33 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.421.082.000;1584154;RUA TOBIAS BARRETO - 9 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.422.000.000;1584162;RUA JACKSON DE FIGUEIREDO - 68 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.422.023.000;1584170;RUA JACKSON DE FIGUEIREDO - 38 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.422.038.000;1584189;RUA JACKSON DE FIGUEIREDO - 26 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.422.046.000;1584197;RUA JACKSON DE FIGUEIREDO - 20 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.423.018.000;1584219;RUA JOAO RIBEIRO - 25 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.423.025.000;1584227;RUA JOAO RIBEIRO - 31 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.453.031.000;1584235;RUA JOAO RIBEIRO - 37 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.423.038.000;1584243;RUA JOAO RIBEIRO - 41 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.423.046.000;1584251;RUA JOAO RIBEIRO - 47 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.423.056.000;1584260;RUA JOAO RIBEIRO - 59 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.423.061.000;1584278;RUA JOAO RIBEIRO - 63 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.423.069.000;1584286;RUA JOAO RIBEIRO - 71 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.423.074.000;1584294;RUA JOAO RIBEIRO - 75 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.423.094.000;1584316;RUA JOAO RIBEIRO - 87 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.394.000.000;1584340;PRACA MAL DEODORO DA FONSECA - 40 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.424.010.000;1584359;PRACA MAL DEODORO DA FONSECA - 34 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.424.020.000;1584367;PRACA MAL DEODORO DA FONSECA - S/N -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.332.010.001;1584456;PRACA MAL DEODORO DA FONSECA - 25 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.332.010.002;1584464;RUA DO COITEZINHO - 8 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.332.020.000;1584472;RUA DO COITEZINHO - 27 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.332.029.000;5222168;RUA DO COITEZINHO - 73 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.332.030.000;1584480;RUA DO COITEZINHO - 33 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.332.040.000;1584499;RUA DO COITEZINHO - 37 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.332.043.000;1584502;RUA DO COITEZINHO - 41 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.332.053.000;1584510;RUA DO COITEZINHO - 45 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.332.063.000;1584529;RUA DO COITEZINHO - 53 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.302.073.000;1584545;RUA DO COITEZINHO - 57 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.182.077.000;1584561;RUA DO COITEZINHO - 57 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.332.083.000;1584553;RUA DO COITEZINHO - 61 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.332.091.000;1584570;RUA DO COITEZINHO - 65 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.332.095.000;1584588;RUA DO COITEZINHO - 69 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.332.103.000;1584596;RUA DO COITEZINHO - 79 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.332.107.000;4378482;RUA DO COITEZINHO - 81 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.332.111.000;1584618;RUA DO COITEZINHO - 85 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.332.116.000;1584626;RUA DO COITEZINHO - S/N -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.332.122.000;4277503;RUA DO COITEZINHO - 95 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.332.127.000;1584634;RUA DO COITEZINHO - 101 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.332.133.000;1584642;RUA DO COITEZINHO - 105 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.332.139.000;1598198;RUA DO COITEZINHO - 111 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.274.015.000;1584685;RUA DO COITEZINHO - 132 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.274.025.000;1584693;RUA DO COITEZINHO - 84 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.274.031.000;1584707;RUA DO COITEZINHO - 80 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.274.049.000;7842163;RUA DO COITEZINHO - 68 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.275.017.000;1584677;RUA DO COITEZINHO - 126 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.275.049.000;1584740;RUA DO COITEZINHO - 132 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.271.037.000;1584766;PRACA MAL DEODORO DA FONSECA - 96 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.271.042.000;1584774;PRACA MAL DEODORO DA FONSECA - 90 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.271.050.000;1584812;PRACA MAL DEODORO DA FONSECA - 70 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.271.058.000;1584820;RUA FAUSTO CARDOSO - 86 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.271.069.000;1584839;RUA FAUSTO CARDOSO - 78 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.271.079.000;1584847;RUA FAUSTO CARDOSO - 70 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.271.089.000;1584855;RUA FAUSTO CARDOSO - 64 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.271.095.000;1584863;RUA FAUSTO CARDOSO - 58 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.271.100.000;1584871;RUA FAUSTO CARDOSO - 58 - A - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.271.105.000;1584880;RUA FAUSTO CARDOSO - 50 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.271.111.000;1584898;RUA FAUSTO CARDOSO - 44 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.271.117.000;1584901;RUA FAUSTO CARDOSO - 40 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.271.121.000;1584910;RUA FAUSTO CARDOSO - 36 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.271.126.000;1584928;RUA FAUSTO CARDOSO - 30 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.271.135.000;1584936;RUA FAUSTO CARDOSO - 24 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.271.141.000;1584944;RUA FAUSTO CARDOSO - 18 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.271.151.000;1584952;RUA FAUSTO CARDOSO - S/N -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.272.020.002;1594648;RUA MARIO CRUZ - 21 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.272.051.000;1588044;RUA MARIO CRUZ - 59 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.214.001.003;1590421;RUA MARIO CRUZ - 65 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.272.000.003;1594656;RUA MARIO CRUZ - 83 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.273.000.000;1594664;RUA MARIO CRUZ - 89 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.033.005.000;1594672;RUA MARIO CRUZ - 99 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.211.005.000;6505827;RUA MARIO CRUZ - 8 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.214.001.002;1594737;RUA MARIO CRUZ - 14 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.214.005.000;1594745;RUA MARIO CRUZ - 18 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.211.010.000;1594753;RUA MARIO CRUZ - 84 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.211.015.000;1594761;RUA MARIO CRUZ - 80 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.211.020.000;1594770;RUA MARIO CRUZ - 76 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.211.025.000;1594788;RUA MARIO CRUZ - 72 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.031.029.000;1594796;RUA MARIO CRUZ - 68 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.211.036.000;1594800;RUA MARIO CRUZ - 64 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.211.040.000;1594818;RUA MARIO CRUZ - 60 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.006.000;6297087;RUA MARIO CRUZ - 50 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.211.000.001;1584960;RUA FAUSTO CARDOSO - 40 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.211.007.000;1584979;RUA FAUSTO CARDOSO - 34 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.211.012.000;1596632;PRACA DA LUZ - 30 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.211.016.001;1584987;PRACA DA LUZ - 26 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.211.021.000;1584995;PRACA DA LUZ - 22 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.211.027.000;1585002;PRACA DA LUZ - 16 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.211.032.001;1585010;PRACA DA LUZ - 10 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.211.039.000;1585029;PRACA DA LUZ - 4 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.393.016.000;1585053;RUA FAUSTO CARDOSO - 3 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.393.043.000;1585088;RUA FAUSTO CARDOSO - 25 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.393.048.000;1585096;RUA FAUSTO CARDOSO - 31 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.393.053.000;1585100;RUA FAUSTO CARDOSO - 37 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.393.059.000;1585118;RUA FAUSTO CARDOSO - 41 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.393.065.000;1585126;RUA FAUSTO CARDOSO - 47 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.393.077.000;1585134;RUA FAUSTO CARDOSO - 63 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.393.089.000;1585142;RUA FAUSTO CARDOSO - 69 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.393.096.000;1585150;RUA FAUSTO CARDOSO - 77 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.393.101.000;1585169;RUA FAUSTO CARDOSO - 85 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.393.106.000;1585177;RUA FAUSTO CARDOSO - 89 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.393.111.000;1585185;RUA FAUSTO CARDOSO - 97 - LADO - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.393.121.000;1585193;RUA FAUSTO CARDOSO - 103 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.391.006.001;1585215;RUA JOAO RIBEIRO - 80 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.391.010.000;1585231;RUA JOAO RIBEIRO - 76 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.391.014.000;1585240;RUA JOAO RIBEIRO - 68 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.391.019.000;1585266;RUA JOAO RIBEIRO - 62 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.391.025.000;1593340;RUA JOAO RIBEIRO - 54 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.391.028.000;1585274;RUA JOAO RIBEIRO - 50 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.392.005.000;1585312;TRAVESSA MUNICIPAL - 24 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.392.011.000;1585320;TRAVESSA MUNICIPAL - 20 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.392.017.000;1585339;TRAVESSA MUNICIPAL - 16 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.392.022.000;1585347;TRAVESSA MUNICIPAL - 10 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.392.027.000;1585355;TRAVESSA MUNICIPAL - 60-A - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.392.027.001;6505847;TRAVESSA MUNICIPAL - 60-C - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.000.003;1585363;RUA DR ENEAS FERREIRA - 552 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.024.002;5222044;RUA DR ENEAS FERREIRA - 546 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.027.000;7314779;RUA DR ENEAS FERREIRA - 534 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.030.000;1585371;RUA DR ENEAS FERREIRA - 530 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.040.000;1585380;RUA DR ENEAS FERREIRA - 520 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.046.000;6188976;RUA DR ENEAS FERREIRA - S/N - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.072.000;1585401;RUA DR ENEAS FERREIRA - 496 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.076.000;1585410;RUA DR ENEAS FERREIRA - 492 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.080.000;1585428;RUA DR ENEAS FERREIRA - 480 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.082.000;1585436;RUA DR ENEAS FERREIRA - S/N -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.088.000;1585444;RUA DR ENEAS FERREIRA - 474 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.108.000;1585452;RUA DR ENEAS FERREIRA - 460 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.113.000;1585460;RUA DR ENEAS FERREIRA - 454 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.117.000;1585495;RUA DR ENEAS FERREIRA - 428 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.147.000;1585517;RUA DR ENEAS FERREIRA - 416 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.151.000;1585525;RUA DR ENEAS FERREIRA - 412 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.156.000;1585533;RUA DR ENEAS FERREIRA - 406 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.164.000;1585541;RUA DR ENEAS FERREIRA - 400 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.171.000;1585550;RUA DR ENEAS FERREIRA - 394 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.177.000;1585568;RUA DR ENEAS FERREIRA - 388 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.183.000;1585576;RUA DR ENEAS FERREIRA - 382 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.189.000;1585584;RUA DR ENEAS FERREIRA - 376 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.196.000;1585592;RUA DR ENEAS FERREIRA - 372 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.203.000;1585606;RUA DR ENEAS FERREIRA - 366 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.209.000;1585614;RUA DR ENEAS FERREIRA - 360 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.214.000;1585622;RUA DR ENEAS FERREIRA - 354 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.220.000;1585630;RUA DR ENEAS FERREIRA - 350 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.225.000;1585649;RUA DR ENEAS FERREIRA - 346 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.230.000;1585657;RUA DR ENEAS FERREIRA - 342 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.235.000;1585665;RUA DR ENEAS FERREIRA - 338 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.240.000;1585673;RUA DR ENEAS FERREIRA - 334 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.245.000;1585681;RUA DR ENEAS FERREIRA - 328 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.250.000;1585690;RUA DR ENEAS FERREIRA - S/N -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.255.000;1585703;RUA DR ENEAS FERREIRA - 318 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.260.000;1585711;RUA DR ENEAS FERREIRA - 312 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.266.000;1585720;RUA DR ENEAS FERREIRA - 308 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.271.000;1585738;RUA DR ENEAS FERREIRA - 302 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.277.000;1585746;RUA DR ENEAS FERREIRA - 296 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.282.000;1585754;RUA DR ENEAS FERREIRA - 292 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.287.000;1585762;RUA DR ENEAS FERREIRA - 286 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.292.000;1585770;RUA DR ENEAS FERREIRA - 282 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.296.000;1585789;RUA DR ENEAS FERREIRA - 278 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.301.000;1585797;RUA DR ENEAS FERREIRA - 272 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.306.000;1585800;RUA DR ENEAS FERREIRA - 266 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.311.000;1585819;RUA DR ENEAS FERREIRA - 262 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.316.000;1585827;RUA DR ENEAS FERREIRA - 256 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.321.000;1585835;RUA DR ENEAS FERREIRA - 250 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.212.326.000;1585843;RUA DR ENEAS FERREIRA - 246 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
